geography,id,name,value,source,control_size
TAZ,1,num_hh,802,Control,802
TAZ,1,hh_inc_25,83,Control,83
TAZ,1,hh_inc_25_50,88,Control,88
TAZ,1,hh_inc_50_75,81,Control,81
TAZ,1,hh_inc_75_100,74,Control,74
TAZ,1,hh_inc_100_150,156,Control,156
TAZ,1,hh_inc_150_plus,316,Control,316
TAZ,1,hh_gq,4,Control,4
TAZ,1,hh_child,715,Control,715
TAZ,1,hh_no_child,83,Control,83
TAZ,1,num_hh,802,Result,802
TAZ,1,hh_inc_25,83,Result,83
TAZ,1,hh_inc_25_50,88,Result,88
TAZ,1,hh_inc_50_75,81,Result,81
TAZ,1,hh_inc_75_100,74,Result,74
TAZ,1,hh_inc_100_150,156,Result,156
TAZ,1,hh_inc_150_plus,316,Result,316
TAZ,1,hh_gq,4,Result,4
TAZ,1,hh_child,715,Result,715
TAZ,1,hh_no_child,83,Result,83
TAZ,1,num_hh,0,Difference,802
TAZ,1,hh_inc_25,0,Difference,83
TAZ,1,hh_inc_25_50,0,Difference,88
TAZ,1,hh_inc_50_75,0,Difference,81
TAZ,1,hh_inc_75_100,0,Difference,74
TAZ,1,hh_inc_100_150,0,Difference,156
TAZ,1,hh_inc_150_plus,0,Difference,316
TAZ,1,hh_gq,0,Difference,4
TAZ,1,hh_child,0,Difference,715
TAZ,1,hh_no_child,0,Difference,83
TAZ,2,num_hh,474,Control,474
TAZ,2,hh_inc_25,80,Control,80
TAZ,2,hh_inc_25_50,20,Control,20
TAZ,2,hh_inc_50_75,72,Control,72
TAZ,2,hh_inc_75_100,23,Control,23
TAZ,2,hh_inc_100_150,85,Control,85
TAZ,2,hh_inc_150_plus,172,Control,172
TAZ,2,hh_gq,22,Control,22
TAZ,2,hh_child,139,Control,139
TAZ,2,hh_no_child,313,Control,313
TAZ,2,num_hh,474,Result,474
TAZ,2,hh_inc_25,80,Result,80
TAZ,2,hh_inc_25_50,20,Result,20
TAZ,2,hh_inc_50_75,72,Result,72
TAZ,2,hh_inc_75_100,23,Result,23
TAZ,2,hh_inc_100_150,85,Result,85
TAZ,2,hh_inc_150_plus,172,Result,172
TAZ,2,hh_gq,22,Result,22
TAZ,2,hh_child,139,Result,139
TAZ,2,hh_no_child,313,Result,313
TAZ,2,num_hh,0,Difference,474
TAZ,2,hh_inc_25,0,Difference,80
TAZ,2,hh_inc_25_50,0,Difference,20
TAZ,2,hh_inc_50_75,0,Difference,72
