TAZ,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE
1,798,715,83,83,88,81,74,156,316,4,1451,802
2,452,139,313,80,20,72,23,85,172,22,1508,474
3,3236,2940,296,1120,526,287,342,508,453,20,6233,3256
4,2438,2115,323,874,371,322,239,286,346,0,5009,2438
5,3398,3223,175,1230,649,346,310,433,430,7,5973,3405
6,1346,1176,170,439,219,192,115,191,190,20,2658,1366
7,542,454,88,182,99,69,50,65,77,0,1179,542
8,717,679,38,263,137,99,46,86,86,0,1274,717
9,10723,6907,3816,915,1685,791,1158,2130,4044,0,38544,10723
10,4345,4077,268,1070,1167,520,391,552,645,107,7664,4452
11,872,730,142,293,160,110,80,104,125,0,1898,872
12,630,596,34,229,124,77,53,72,75,0,1029,630
13,676,640,36,246,133,83,57,78,79,0,1104,676
14,1050,973,77,429,187,127,66,120,121,342,1664,1392
15,517,479,38,211,92,62,32,59,61,0,819,517
16,1271,1177,94,519,226,154,79,145,148,281,2014,1552
17,1440,1334,106,588,256,174,90,164,168,0,2282,1440
18,1060,926,134,486,133,137,51,131,122,353,1877,1413
19,1105,966,139,507,139,143,53,136,127,202,1955,1307
20,819,731,88,317,132,96,77,101,96,118,1511,937
21,1908,1786,122,525,354,220,230,247,332,191,3365,2099
22,1381,1292,89,380,256,159,167,179,240,55,2435,1436
23,5486,5148,338,1351,1474,657,494,697,813,64,9678,5550
24,905,856,49,330,178,111,77,104,105,461,1478,1366
25,1454,1376,78,529,286,178,123,167,171,0,2374,1454
26,1778,1512,266,645,366,205,146,210,206,77,3229,1855
27,1114,947,167,404,230,129,92,132,127,0,2023,1114
28,1770,1505,265,642,365,204,145,209,205,664,3213,2434
29,1222,1074,148,453,223,155,101,142,148,15,2242,1237
30,1628,1431,197,603,297,207,135,189,197,126,2987,1754
31,586,515,71,217,107,74,49,68,71,531,1075,1117
32,677,592,85,221,110,96,58,96,96,0,1337,677
33,1213,1060,153,396,198,173,104,172,170,0,2397,1213
34,1242,1177,65,390,265,148,120,147,172,8,2122,1250
35,716,599,117,245,112,94,70,88,107,0,1494,716
36,832,695,137,285,130,110,81,102,124,1,1737,833
37,901,753,148,308,141,119,88,110,135,0,1880,901
38,578,484,94,194,106,73,53,69,83,0,1257,578
39,1041,871,170,350,191,132,96,124,148,0,2264,1041
40,2347,2063,284,870,428,298,195,273,283,181,4307,2528
41,1188,1044,144,440,217,151,99,138,143,44,2181,1232
42,1951,1705,246,895,245,253,94,240,224,2413,3452,4364
43,1261,1102,159,578,158,163,61,155,146,134,2232,1395
44,1150,972,178,440,168,134,111,151,146,0,2434,1150
45,903,763,140,346,132,105,87,118,115,0,1911,903
46,867,733,134,332,127,101,83,114,110,0,1835,867
47,1142,1082,60,418,218,157,73,137,139,0,2029,1142
48,1194,1131,63,437,228,164,76,143,146,0,2120,1194
49,642,567,75,242,107,63,64,81,85,0,1349,642
50,1172,1035,137,443,195,115,118,148,153,3,2465,1175
51,1257,1110,147,475,210,124,126,159,163,11,2645,1268
52,1331,1210,121,475,254,155,113,168,166,28,2407,1359
53,1517,1379,138,541,289,177,128,191,191,0,2743,1517
54,837,761,76,299,160,97,71,105,105,4,1514,841
55,1012,915,97,355,184,133,80,121,139,0,1934,1012
56,449,406,43,158,82,59,35,54,61,3,858,452
57,838,758,80,294,153,110,66,100,115,0,1600,838
58,733,601,132,229,153,94,48,108,101,0,1630,733
59,986,808,178,309,206,126,65,145,135,0,2192,986
60,1415,1351,64,470,259,151,152,175,208,25,2420,1440
61,888,854,34,286,208,99,83,104,108,348,1407,1236
62,268,245,23,88,59,43,10,30,38,35,458,303
63,394,342,52,128,76,54,24,54,58,18,667,412
64,810,654,156,276,152,108,59,103,112,18,1873,828
65,615,573,42,236,86,95,44,61,93,472,1100,1087
66,1197,1115,82,459,167,186,86,119,180,0,2141,1197
67,2197,2047,150,842,306,341,158,218,332,72,3930,2269
68,1986,1859,127,484,468,200,216,274,344,80,3551,2066
69,2206,2064,142,606,409,254,266,286,385,306,3889,2512
70,1555,1416,139,562,356,166,123,169,179,51,2478,1606
71,1435,1307,128,518,329,154,113,156,165,62,2285,1497
72,1541,1482,59,497,361,172,144,180,187,515,2442,2056
73,746,675,71,244,133,97,76,87,109,10,1288,756
74,1077,823,254,344,215,113,106,137,162,8,2538,1085
75,616,471,145,197,123,64,61,78,93,0,1452,616
76,4075,3604,471,1432,662,519,347,487,628,95,7525,4170
77,2161,1911,250,760,351,275,184,258,333,41,3989,2202
78,1295,1156,139,501,208,151,122,159,154,90,2391,1385
79,1535,1371,164,593,247,179,145,189,182,11,2833,1546
80,2022,1890,132,411,491,267,168,309,376,27,3575,2049
81,845,790,55,155,195,93,96,124,182,253,1490,1098
82,312,306,6,103,65,33,41,30,40,63,506,375
83,56,52,4,15,8,9,4,9,11,11,97,67
84,561,548,13,168,126,63,68,62,74,2,908,563
85,447,391,56,158,75,62,31,67,54,64,766,511
86,111,102,9,39,20,17,6,15,14,22,189,133
87,105,103,2,27,28,12,11,14,13,1,170,106
88,1770,1657,113,431,418,178,192,244,307,377,3164,2147
89,413,386,27,84,100,55,34,63,77,455,729,868
90,1403,1313,90,258,323,155,159,206,302,25,2476,1428
91,1603,1500,103,295,369,177,182,235,345,15,2828,1618
92,2299,2112,187,553,258,279,250,370,589,14,4125,2313
93,4277,4087,190,1484,661,500,343,599,690,113,7545,4390
94,3624,3469,155,988,525,353,377,592,789,22,6351,3646
95,2761,2419,342,740,356,313,278,442,632,4,5182,2765
96,731,688,43,269,109,64,81,102,106,0,1326,731
97,4970,3968,1002,556,562,515,536,858,1943,99,12716,5069
98,1646,1297,349,186,198,155,174,275,658,19,4308,1665
99,1812,1436,376,190,217,182,175,322,726,0,4592,1812
100,68,57,11,7,8,10,6,4,33,0,153,68
101,299,207,92,33,39,30,31,47,119,0,821,299
102,903,719,184,99,109,80,96,167,352,0,2261,903
103,880,710,170,125,107,86,98,147,317,0,2044,880
104,387,312,75,55,47,38,43,65,139,0,900,387
105,405,327,78,58,49,39,45,68,146,115,940,520
106,561,453,108,80,68,55,63,94,201,0,1303,561
107,759,610,149,97,89,75,80,128,290,0,1801,759
108,783,629,154,100,92,77,83,132,299,23,1858,806
109,686,551,135,88,80,68,73,115,262,13,1628,699
110,902,725,177,115,105,89,95,152,346,0,2141,902
111,1043,833,210,119,124,104,109,175,412,14,2538,1057
112,1090,870,220,124,129,108,114,183,432,28,2653,1118
113,989,790,199,112,117,98,104,166,392,0,2407,989
114,233,161,72,26,30,23,24,36,94,0,640,233
115,479,332,147,53,62,48,50,75,191,0,1318,479
116,669,526,143,88,98,69,70,115,229,0,1678,669
117,705,554,151,93,103,73,74,121,241,7,1766,712
118,1026,807,219,136,151,106,108,176,349,7,2572,1033
119,592,462,130,77,79,55,65,96,220,3,1512,595
120,904,706,198,117,120,84,99,147,337,0,2309,904
121,476,372,104,62,63,44,52,78,177,0,1216,476
122,496,387,109,64,66,46,54,81,185,0,1267,496
123,785,613,172,102,104,73,86,128,292,11,2003,796
124,949,743,206,107,117,92,96,169,368,3,2420,952
125,724,567,157,81,90,70,73,129,281,5,1849,729
126,635,497,138,71,79,62,64,113,246,2,1621,637
127,795,623,172,89,98,77,80,141,310,0,2028,795
128,590,466,124,72,58,56,62,109,233,0,1567,590
129,910,724,186,100,110,80,97,168,355,4,2278,914
130,662,527,135,72,80,58,71,123,258,0,1657,662
131,728,575,153,89,71,70,76,134,288,1,1935,729
132,920,734,186,103,104,95,99,159,360,10,2355,930
133,1055,941,114,259,270,114,106,127,179,38,1789,1093
134,874,543,331,93,98,83,88,143,369,6,2746,880
135,664,592,72,163,170,72,67,80,112,5,1126,669
136,1383,1234,149,340,354,149,139,166,235,12,2347,1395
137,511,403,108,62,50,49,54,94,202,0,1359,511
138,1212,1155,57,462,256,128,106,130,130,101,2086,1313
139,1659,1581,78,633,350,175,145,178,178,1,2856,1660
140,1029,981,48,393,217,109,90,110,110,51,1772,1080
141,816,778,38,311,172,86,71,87,89,0,1405,816
142,188,150,38,48,39,20,17,27,37,0,417,188
143,940,750,190,241,195,101,87,134,182,0,2078,940
144,700,559,141,179,145,75,64,100,137,124,1547,824
145,785,626,159,201,163,84,72,112,153,54,1735,839
146,939,749,190,241,195,100,86,134,183,52,2076,991
147,1073,934,139,180,241,125,110,173,244,66,2108,1139
148,794,691,103,134,178,92,82,128,180,0,1559,794
149,1205,1049,156,203,271,140,124,194,273,0,2367,1205
150,1926,1676,250,324,433,224,198,310,437,37,3783,1963
151,769,669,100,129,173,90,79,124,174,137,1510,906
152,867,754,113,146,195,101,89,140,196,86,1703,953
153,642,544,98,79,105,70,59,116,213,0,1399,642
154,566,480,86,70,92,62,52,102,188,123,1234,689
155,811,688,123,100,132,88,74,147,270,3,1767,814
156,391,332,59,48,64,43,36,71,129,0,853,391
157,984,834,150,121,161,107,90,178,327,25,2144,1009
