geography,id,name,value,source,control_size
TAZ,1,num_hh,707,Control,707
TAZ,1,hh_inc_25,205,Control,205
TAZ,1,hh_inc_25_50,146,Control,146
TAZ,1,hh_inc_50_75,48,Control,48
TAZ,1,hh_inc_75_100,45,Control,45
TAZ,1,hh_inc_100_150,81,Control,81
TAZ,1,hh_inc_150_plus,178,Control,178
TAZ,1,hh_gq,4,Control,4
TAZ,1,hh_child,684,Control,684
TAZ,1,hh_no_child,19,Control,19
TAZ,1,num_hh,707,Result,707
TAZ,1,hh_inc_25,205,Result,205
TAZ,1,hh_inc_25_50,146,Result,146
TAZ,1,hh_inc_50_75,48,Result,48
TAZ,1,hh_inc_75_100,45,Result,45
TAZ,1,hh_inc_100_150,81,Result,81
TAZ,1,hh_inc_150_plus,178,Result,178
TAZ,1,hh_gq,4,Result,4
TAZ,1,hh_child,684,Result,684
TAZ,1,hh_no_child,19,Result,19
TAZ,1,num_hh,0,Difference,707
TAZ,1,hh_inc_25,0,Difference,205
TAZ,1,hh_inc_25_50,0,Difference,146
TAZ,1,hh_inc_50_75,0,Difference,48
TAZ,1,hh_inc_75_100,0,Difference,45
TAZ,1,hh_inc_100_150,0,Difference,81
TAZ,1,hh_inc_150_plus,0,Difference,178
TAZ,1,hh_gq,0,Difference,4
TAZ,1,hh_child,0,Difference,684
TAZ,1,hh_no_child,0,Difference,19
TAZ,2,num_hh,1015,Control,1015
TAZ,2,hh_inc_25,552,Control,552
TAZ,2,hh_inc_25_50,386,Control,386
TAZ,2,hh_inc_50_75,19,Control,19
TAZ,2,hh_inc_75_100,19,Control,19
TAZ,2,hh_inc_100_150,5,Control,5
TAZ,2,hh_inc_150_plus,3,Control,3
TAZ,2,hh_gq,31,Control,31
TAZ,2,hh_child,446,Control,446
TAZ,2,hh_no_child,538,Control,538
TAZ,2,num_hh,1015,Result,1015
TAZ,2,hh_inc_25,552,Result,552
TAZ,2,hh_inc_25_50,386,Result,386
TAZ,2,hh_inc_50_75,19,Result,19
TAZ,2,hh_inc_75_100,19,Result,19
TAZ,2,hh_inc_100_150,5,Result,5
TAZ,2,hh_inc_150_plus,3,Result,3
TAZ,2,hh_gq,31,Result,31
TAZ,2,hh_child,446,Result,446
TAZ,2,hh_no_child,538,Result,538
TAZ,2,num_hh,0,Difference,1015
TAZ,2,hh_inc_25,0,Difference,552
TAZ,2,hh_inc_25_50,0,Difference,386
TAZ,2,hh_inc_50_75,0,Difference,19
TAZ,2,hh_inc_75_100,0,Difference,19
TAZ,2,hh_inc_100_150,0,Difference,5
TAZ,2,hh_inc_150_plus,0,Difference,3
TAZ,2,hh_gq,0,Difference,31
TAZ,2,hh_child,0,Difference,446
TAZ,2,hh_no_child,0,Difference,538
TAZ,3,num_hh,3239,Control,3239
TAZ,3,hh_inc_25,1222,Control,1222
TAZ,3,hh_inc_25_50,724,Control,724
TAZ,3,hh_inc_50_75,224,Control,224
TAZ,3,hh_inc_75_100,191,Control,191
TAZ,3,hh_inc_100_150,223,Control,223
TAZ,3,hh_inc_150_plus,636,Control,636
TAZ,3,hh_gq,19,Control,19
TAZ,3,hh_child,3035,Control,3035
TAZ,3,hh_no_child,185,Control,185
TAZ,3,num_hh,3239,Result,3239
TAZ,3,hh_inc_25,1221,Result,1222
TAZ,3,hh_inc_25_50,723,Result,724
TAZ,3,hh_inc_50_75,225,Result,224
TAZ,3,hh_inc_75_100,191,Result,191
TAZ,3,hh_inc_100_150,223,Result,223
TAZ,3,hh_inc_150_plus,637,Result,636
TAZ,3,hh_gq,19,Result,19
TAZ,3,hh_child,3035,Result,3035
TAZ,3,hh_no_child,185,Result,185
TAZ,3,num_hh,0,Difference,3239
TAZ,3,hh_inc_25,-1,Difference,1222
TAZ,3,hh_inc_25_50,-1,Difference,724
TAZ,3,hh_inc_50_75,1,Difference,224
TAZ,3,hh_inc_75_100,0,Difference,191
TAZ,3,hh_inc_100_150,0,Difference,223
TAZ,3,hh_inc_150_plus,1,Difference,636
TAZ,3,hh_gq,0,Difference,19
TAZ,3,hh_child,0,Difference,3035
TAZ,3,hh_no_child,0,Difference,185
TAZ,4,num_hh,2922,Control,2922
TAZ,4,hh_inc_25,697,Control,697
TAZ,4,hh_inc_25_50,391,Control,391
TAZ,4,hh_inc_50_75,285,Control,285
TAZ,4,hh_inc_75_100,262,Control,262
TAZ,4,hh_inc_100_150,294,Control,294
TAZ,4,hh_inc_150_plus,993,Control,993
TAZ,4,hh_gq,0,Control,0
TAZ,4,hh_child,2758,Control,2758
TAZ,4,hh_no_child,164,Control,164
TAZ,4,num_hh,2922,Result,2922
TAZ,4,hh_inc_25,697,Result,697
TAZ,4,hh_inc_25_50,391,Result,391
TAZ,4,hh_inc_50_75,285,Result,285
TAZ,4,hh_inc_75_100,262,Result,262
TAZ,4,hh_inc_100_150,294,Result,294
TAZ,4,hh_inc_150_plus,993,Result,993
TAZ,4,hh_gq,0,Result,0
TAZ,4,hh_child,2758,Result,2758
TAZ,4,hh_no_child,164,Result,164
TAZ,4,num_hh,0,Difference,2922
TAZ,4,hh_inc_25,0,Difference,697
TAZ,4,hh_inc_25_50,0,Difference,391
TAZ,4,hh_inc_50_75,0,Difference,285
TAZ,4,hh_inc_75_100,0,Difference,262
TAZ,4,hh_inc_100_150,0,Difference,294
TAZ,4,hh_inc_150_plus,0,Difference,993
TAZ,4,hh_gq,0,Difference,0
TAZ,4,hh_child,0,Difference,2758
TAZ,4,hh_no_child,0,Difference,164
