geography,id,name,value,source,control_size
TAZ,1,num_hh,856,Control,856
TAZ,1,hh_inc_25,85,Control,85
TAZ,1,hh_inc_25_50,81,Control,81
TAZ,1,hh_inc_50_75,70,Control,70
TAZ,1,hh_inc_75_100,99,Control,99
TAZ,1,hh_inc_100_150,165,Control,165
TAZ,1,hh_inc_150_plus,352,Control,352
TAZ,1,hh_gq,4,Control,4
TAZ,1,hh_child,825,Control,825
TAZ,1,hh_no_child,27,Control,27
TAZ,1,num_hh,856,Result,856
TAZ,1,hh_inc_25,85,Result,85
TAZ,1,hh_inc_25_50,81,Result,81
TAZ,1,hh_inc_50_75,70,Result,70
TAZ,1,hh_inc_75_100,99,Result,99
TAZ,1,hh_inc_100_150,165,Result,165
TAZ,1,hh_inc_150_plus,352,Result,352
TAZ,1,hh_gq,4,Result,4
TAZ,1,hh_child,825,Result,825
TAZ,1,hh_no_child,27,Result,27
TAZ,1,num_hh,0,Difference,856
TAZ,1,hh_inc_25,0,Difference,85
TAZ,1,hh_inc_25_50,0,Difference,81
TAZ,1,hh_inc_50_75,0,Difference,70
TAZ,1,hh_inc_75_100,0,Difference,99
TAZ,1,hh_inc_100_150,0,Difference,165
TAZ,1,hh_inc_150_plus,0,Difference,352
TAZ,1,hh_gq,0,Difference,4
TAZ,1,hh_child,0,Difference,825
TAZ,1,hh_no_child,0,Difference,27
TAZ,2,num_hh,519,Control,519
TAZ,2,hh_inc_25,73,Control,73
TAZ,2,hh_inc_25_50,33,Control,33
TAZ,2,hh_inc_50_75,63,Control,63
TAZ,2,hh_inc_75_100,27,Control,27
TAZ,2,hh_inc_100_150,97,Control,97
TAZ,2,hh_inc_150_plus,204,Control,204
TAZ,2,hh_gq,22,Control,22
TAZ,2,hh_child,164,Control,164
TAZ,2,hh_no_child,333,Control,333
TAZ,2,num_hh,519,Result,519
TAZ,2,hh_inc_25,73,Result,73
TAZ,2,hh_inc_25_50,33,Result,33
TAZ,2,hh_inc_50_75,63,Result,63
TAZ,2,hh_inc_75_100,27,Result,27
TAZ,2,hh_inc_100_150,97,Result,97
TAZ,2,hh_inc_150_plus,204,Result,204
TAZ,2,hh_gq,22,Result,22
TAZ,2,hh_child,164,Result,164
TAZ,2,hh_no_child,333,Result,333
TAZ,2,num_hh,0,Difference,519
TAZ,2,hh_inc_25,0,Difference,73
TAZ,2,hh_inc_25_50,0,Difference,33
TAZ,2,hh_inc_50_75,0,Difference,63
TAZ,2,hh_inc_75_100,0,Difference,27
TAZ,2,hh_inc_100_150,0,Difference,97
TAZ,2,hh_inc_150_plus,0,Difference,204
TAZ,2,hh_gq,0,Difference,22
TAZ,2,hh_child,0,Difference,164
