geography,id,name,value,source,control_size
TAZ,1,num_hh,700,Control,700
TAZ,1,hh_inc_25,177,Control,177
TAZ,1,hh_inc_25_50,175,Control,175
TAZ,1,hh_inc_50_75,104,Control,104
TAZ,1,hh_inc_75_100,66,Control,66
TAZ,1,hh_inc_100_150,96,Control,96
TAZ,1,hh_inc_150_plus,80,Control,80
TAZ,1,hh_gq,2,Control,2
TAZ,1,hh_child,662,Control,662
TAZ,1,hh_no_child,36,Control,36
TAZ,1,num_hh,700,Result,700
TAZ,1,hh_inc_25,177,Result,177
TAZ,1,hh_inc_25_50,175,Result,175
TAZ,1,hh_inc_50_75,104,Result,104
TAZ,1,hh_inc_75_100,66,Result,66
TAZ,1,hh_inc_100_150,96,Result,96
TAZ,1,hh_inc_150_plus,80,Result,80
TAZ,1,hh_gq,2,Result,2
TAZ,1,hh_child,662,Result,662
TAZ,1,hh_no_child,36,Result,36
TAZ,1,num_hh,0,Difference,700
TAZ,1,hh_inc_25,0,Difference,177
TAZ,1,hh_inc_25_50,0,Difference,175
TAZ,1,hh_inc_50_75,0,Difference,104
TAZ,1,hh_inc_75_100,0,Difference,66
TAZ,1,hh_inc_100_150,0,Difference,96
TAZ,1,hh_inc_150_plus,0,Difference,80
TAZ,1,hh_gq,0,Difference,2
TAZ,1,hh_child,0,Difference,662
TAZ,1,hh_no_child,0,Difference,36
TAZ,2,num_hh,428,Control,428
TAZ,2,hh_inc_25,184,Control,184
TAZ,2,hh_inc_25_50,133,Control,133
TAZ,2,hh_inc_50_75,51,Control,51
TAZ,2,hh_inc_75_100,24,Control,24
TAZ,2,hh_inc_100_150,9,Control,9
TAZ,2,hh_inc_150_plus,14,Control,14
TAZ,2,hh_gq,13,Control,13
TAZ,2,hh_child,167,Control,167
TAZ,2,hh_no_child,248,Control,248
TAZ,2,num_hh,428,Result,428
TAZ,2,hh_inc_25,184,Result,184
TAZ,2,hh_inc_25_50,133,Result,133
TAZ,2,hh_inc_50_75,51,Result,51
TAZ,2,hh_inc_75_100,24,Result,24
TAZ,2,hh_inc_100_150,9,Result,9
TAZ,2,hh_inc_150_plus,14,Result,14
TAZ,2,hh_gq,13,Result,13
TAZ,2,hh_child,167,Result,167
TAZ,2,hh_no_child,248,Result,248
TAZ,2,num_hh,0,Difference,428
TAZ,2,hh_inc_25,0,Difference,184
TAZ,2,hh_inc_25_50,0,Difference,133
TAZ,2,hh_inc_50_75,0,Difference,51
