COUNTY,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHWORK0,HHWORK1,HHWORK2,HHWORK3,HHGQYES,HHGQNO,POPAGE1,POPAGE2,POPAGE3,POPAGE4,POPAGE5,POPAGE6,POPSEX1,POPSEX2,HHBASE,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5
1,131529,120666,49592,56985,82119,139605,106022,31026,20308,843955,39206,76746,65237,198732,355958,128384,440633,423630,366323,300386,65937,65844,45770,39968,34612,176737
2,60679,81904,47279,71934,50750,95393,86422,29231,10038,753412,45329,116905,56880,110173,319099,115064,376145,387305,265614,178465,87149,26617,33377,32652,30012,140837
3,139312,172427,102826,154505,140827,213190,168962,46091,32784,1596831,97762,247150,145554,265447,665009,208693,799649,829966,550859,362931,187928,82397,82837,76098,65109,238536
4,86025,123235,68101,112236,92670,145079,117893,33955,10182,1113496,65573,195930,95043,141793,461568,163771,548675,575003,382484,243370,139114,48696,58306,55841,47273,172365
5,131281,189173,116535,193462,118875,240595,204894,66087,35279,1875947,119885,315131,165587,298467,772191,239965,963317,947909,624500,391414,233086,68926,75528,74775,66121,338679
6,32808,34991,15849,21198,27347,41727,30126,5646,7505,253309,12554,40559,16646,23196,114894,52965,127423,133391,106684,75801,30883,12896,13918,12577,11239,56061
7,32067,47917,26500,40868,37665,54266,41863,13558,10436,424545,26566,72332,40851,62398,171280,61554,216074,218907,141756,91233,50523,21614,26705,24192,20532,48721
8,12312,16528,7709,12495,12572,16470,15313,4689,4158,136847,7504,22842,12735,17339,56064,24521,70311,70694,50435,34194,16241,6695,8930,8006,6472,20326
9,53452,64868,29427,42311,51489,69025,53747,15797,8428,492515,26185,75761,43694,65442,202722,87139,245381,255562,187921,135114,52807,28889,34758,33500,26379,64278
10,17362,23118,12824,19541,19274,25633,22727,5211,8194,204411,12397,33314,42662,28893,70862,24477,103617,108988,81875,56259,25616,20819,15585,13329,8356,23793
11,7066,9793,5312,10017,9292,12156,8507,2233,1012,94571,6577,18543,8695,13012,34799,13957,47613,47970,32858,19625,13233,7161,8352,5969,4063,7314
12,140690,166573,85351,139436,141591,208977,147589,33893,24795,1470605,99233,262656,137316,229832,571634,194729,730680,764720,547090,357955,189135,111653,118359,97635,69584,149721
13,5698,8130,4096,7956,8135,10017,6318,1410,1345,73299,6082,14583,7397,11734,26161,8687,38081,36563,26288,16165,10123,6507,6127,5342,3264,5046
14,16048,27160,10440,14436,21899,24799,17959,3427,1766,183249,8571,29592,14108,18324,79470,34950,92304,92711,68538,48798,19740,11246,12379,10762,8171,25978
15,33529,50607,20949,33479,41708,47483,40788,8585,3962,371023,20213,65066,28904,41461,151097,68244,183021,191964,140506,94203,46303,19952,22841,22587,18454,56673
16,45453,62051,37897,78407,58116,85580,61334,18778,15523,708630,52556,147808,72932,99215,265104,86538,360247,363906,223113,128493,94620,48828,49161,40506,27059,57559
17,35016,49693,28648,57967,47224,64823,45809,13468,5377,530307,39246,107089,53263,76084,194158,65844,264824,270860,171867,101105,70762,37382,42127,31373,22096,38881
18,14949,20725,12917,30670,22687,31492,19289,5793,6105,261285,21348,58516,30964,38168,89783,28611,135045,132345,79116,43425,35691,20713,21125,14591,8623,14058
19,2479,5116,3460,6385,3577,5839,5797,2227,289,58382,3889,11740,5685,7702,22765,6890,29208,29463,17369,10073,7296,1946,2981,3064,2444,6935
20,25241,32267,14438,23590,24631,34730,26807,9368,12430,260833,14754,39593,41289,33358,105384,38885,135654,137609,96917,68565,28352,17038,17131,14830,12138,35780
21,27314,35468,19257,43900,29522,46778,35987,13652,17899,415269,32846,81463,45299,63819,155996,53745,221016,212152,125992,76042,49950,19869,28059,23763,17156,37142
