COUNTYPUMA,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHWORK0,HHWORK1,HHWORK2,HHWORK3
1,64857,53925,10932,9942,9873,7127,7091,9960,20864,2996,143681,67853,23806,21840,8976,10314,14863,25267,19189,5615
2,59477,52853,6624,10668,6716,5480,5339,9878,21396,1117,110596,60594,21259,19503,8016,9210,13273,22564,17136,5015
3,66258,57733,8525,16092,10701,6712,4799,9148,18806,7227,129303,73485,25782,23652,9721,11170,16097,27365,20782,6082
4,52914,43833,9081,5290,7087,5147,4148,8993,22249,1359,114618,54273,19041,17469,7179,8250,11888,20210,15349,4492
5,43638,34545,9093,4348,5030,5964,4913,8429,14954,555,115058,44193,15505,14224,5846,6717,9680,16457,12498,3657
6,39272,29141,10131,4349,5844,5152,4567,6842,12518,2202,117525,41474,14551,13349,5486,6304,9085,15444,11729,3432
7,32657,20718,11939,5647,7147,4725,4063,5299,5776,680,113699,33337,11696,10730,4410,5067,7302,12414,9428,2759
8,44731,30450,14281,4358,6786,6893,5895,9639,11160,475,141971,45206,10249,13834,7986,12150,8572,16113,14597,4937
9,40757,28307,12450,3911,5776,5896,6149,8357,10668,1028,124239,41785,9474,12787,7381,11231,7923,14893,13493,4564
10,40444,26927,13517,3564,5251,5387,4566,6340,15336,849,107985,41293,9362,12637,7294,11098,7830,14718,13334,4510
11,47939,31251,16688,3914,5184,5626,4442,9181,19592,897,127654,48836,11072,14945,8627,13126,9260,17406,15769,5334
12,50672,33242,17430,3919,7291,5558,6299,7262,20343,1190,135165,51862,11758,15871,9162,13939,9834,18485,16746,5664
13,37502,23181,14321,3989,5280,4586,3324,5382,14941,1410,117231,38912,8822,11908,6874,10458,7378,13869,12565,4250
14,76990,51493,25497,6363,8932,7037,6496,11084,37078,5793,194578,82783,16634,23969,14765,24512,15062,30484,25961,8373
15,56370,36235,20135,5221,6326,5943,6525,10076,22279,420,153684,56790,11411,16443,10129,16816,10333,20913,17809,5744
16,53307,35303,18004,5302,6625,6140,5052,11130,19058,3444,143254,56751,11403,16432,10122,16804,10326,20898,17797,5740
17,41181,24326,16855,4006,4699,5358,4723,8398,13997,370,137961,41551,8349,12031,7411,12303,7560,15301,13030,4203
18,29556,17287,12269,2595,4296,4958,3308,5822,8577,822,112876,30378,6104,8796,5418,8995,5527,11187,9527,3073
19,37419,21210,16209,4141,5473,4935,4477,7175,11218,1211,119657,38630,7762,11185,6890,11439,7029,14225,12114,3907
20,50166,29676,20490,3123,4512,3914,4842,7282,26493,328,140994,50494,10146,14620,9006,14952,9187,18594,15835,5107
21,50140,31988,18152,4963,7060,6151,6377,8260,17329,194,136503,50334,10114,14574,8978,14904,9158,18535,15785,5091
22,46469,30438,16031,8216,7383,7417,5520,6848,11085,6720,127618,53189,10687,15400,9487,15750,9677,19587,16680,5380
23,54820,34473,20347,6982,10695,8040,6371,8292,14440,1699,161277,56519,11357,16364,10081,16736,10283,20813,17724,5717
24,37299,22517,14782,2738,5541,4904,4370,7559,12187,497,109164,37796,7594,10943,6741,11192,6877,13918,11853,3823
