TAZ,HHBASE,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO
1,698,662,36,177,175,104,66,96,80,2,1078
2,415,167,248,184,133,51,24,9,14,13,1242
3,2194,1972,222,536,274,217,233,398,536,12,4448
4,1885,1679,206,385,133,124,170,383,690,0,3978
5,2494,2298,196,353,249,200,188,471,1033,4,4342
6,987,856,131,111,92,98,96,193,397,12,2173
7,380,340,40,169,82,38,29,32,30,0,923
8,639,599,40,95,45,78,50,85,286,0,1091
9,586,126,460,140,124,112,42,65,103,595,1978
10,1238,999,239,82,33,35,73,192,823,100,2764
11,741,662,79,330,160,75,56,63,57,0,1578
12,595,557,38,107,77,88,78,113,132,0,919
13,502,470,32,90,65,74,66,95,112,0,853
14,784,740,44,345,180,83,58,82,36,208,1089
15,454,429,25,200,105,48,33,47,21,0,860
16,1034,977,57,455,238,110,76,108,47,171,1478
17,932,880,52,410,215,99,69,97,42,0,1204
18,1138,1031,107,613,322,88,41,48,26,196,1607
19,1071,971,100,577,303,83,39,45,24,112,1636
20,896,798,98,313,228,103,73,87,92,63,1502
21,1468,1311,157,192,124,118,95,253,686,94,2590
22,744,664,80,97,63,60,48,128,348,27,1181
23,928,749,179,61,25,27,55,144,616,60,1541
24,862,807,55,154,112,127,114,164,191,205,1338
25,1314,1230,84,235,170,194,173,249,293,0,2040
26,1712,1615,97,537,363,263,159,177,213,42,2987
27,1164,1098,66,365,247,179,108,120,145,0,1994
28,1635,1542,93,513,346,252,152,169,203,365,2689
29,1059,954,105,374,278,112,84,98,113,9,1822
30,1524,1373,151,538,399,162,120,141,164,77,2767
31,382,344,38,135,100,41,30,35,41,323,548
32,501,435,66,56,47,50,49,98,201,0,904
33,923,801,122,103,86,92,90,180,372,0,1527
34,432,302,130,131,63,16,12,29,181,7,885
35,648,600,48,242,110,56,46,57,137,0,1317
36,612,567,45,229,104,53,44,54,128,2,1252
37,607,562,45,227,103,53,43,54,127,0,1011
38,424,379,45,189,91,43,32,36,33,0,1117
39,854,763,91,380,184,86,65,72,67,0,1818
40,1139,1026,113,402,299,121,90,106,121,110,1734
41,1093,985,108,386,286,116,86,101,118,27,1632
42,1340,1215,125,721,379,104,49,56,31,1336,2398
43,928,841,87,500,263,72,34,39,20,74,1267
44,1022,917,105,128,92,132,130,202,338,0,1951
45,816,732,84,102,73,105,103,161,272,0,1625
46,708,635,73,89,64,91,90,140,234,0,1351
47,949,890,59,140,66,116,74,126,427,0,1704
48,1036,971,65,153,72,127,81,138,465,0,1641
49,547,516,31,74,36,50,45,94,248,0,962
50,948,895,53,129,62,86,77,164,430,2,2033
51,1024,967,57,139,67,93,83,177,465,7,1994
52,1166,1079,87,260,151,72,111,194,378,12,1957
53,1289,1193,96,287,167,79,122,214,420,0,2025
54,611,565,46,136,79,38,58,101,199,2,852
55,832,772,60,171,81,75,68,117,320,0,1315
56,369,342,27,76,36,33,30,52,142,2,694
57,719,667,52,148,70,65,58,101,277,0,1363
58,608,541,67,223,145,51,35,70,84,0,1431
59,916,814,102,336,219,76,53,105,127,1,1444
60,1145,1091,54,146,120,133,131,216,399,19,1806
61,622,566,56,103,84,135,108,115,77,212,1020
62,170,152,18,48,36,18,14,25,29,19,294
63,52,49,3,12,10,12,9,4,5,8,77
64,713,643,70,332,175,39,44,77,46,11,1545
65,570,542,28,239,101,40,24,41,125,291,779
66,1101,1047,54,462,196,77,47,79,240,0,1757
67,1436,1366,70,603,255,101,62,103,312,44,2413
68,828,729,99,196,127,91,68,120,226,47,1577
69,2012,1797,215,263,170,162,130,346,941,150,3501
70,1301,1225,76,435,315,178,128,116,129,31,1937
71,1164,1096,68,389,282,159,115,104,115,37,1909
72,1517,1381,136,252,205,329,264,281,186,313,2404
73,320,293,27,174,99,18,15,6,8,2,526
74,1120,907,213,532,402,77,53,42,14,8,2606
75,664,538,126,315,239,45,31,25,9,0,1440
76,1654,1510,144,517,226,123,68,309,411,67,1967
77,762,696,66,238,104,57,31,142,190,29,2262
78,1399,1246,153,489,356,161,114,136,143,48,2449
79,75,67,8,26,19,9,6,7,8,6,86
80,685,646,39,78,60,56,44,114,333,13,1173
81,141,128,13,15,13,3,7,15,88,216,238
82,260,260,0,23,3,0,19,62,153,10,358
